usage,latency,location,version,inlier,outlier
32.44,164,CAN,v1,False,False
32.9,120,RUS,v4,False,False
33.39,367,AUS,v4,False,False
31.24,304,AUS,v4,False,False
31.44,78,USA,v1,False,False
36.15,639,AUS,v3,False,False
31.42,636,CAN,v2,False,False
38.11,682,USA,v1,False,False
28.97,923,UK,v3,False,False
45.73,745,UK,v3,False,False
28.17,876,USA,v1,False,False
37.74,308,CAN,v1,False,False
2.745,926,CAN,v3,False,True
41.21,196,RUS,v4,False,False
32.35,258,UK,v3,False,False
29.31,263,USA,v1,False,False
36.37,116,AUS,v3,False,False
43.04,528,CAN,v1,False,False
33.92,932,AUS,v4,False,False
39.12,694,AUS,v4,False,False
41.14,718,RUS,v4,False,False
30.69,292,USA,v1,False,False
33.59,628,CAN,v2,False,False
31.34,190,USA,v1,False,False
39.46,144,AUS,v3,False,False
40.46,143,UK,v2,False,False
38.39,689,AUS,v3,False,False
21.48,25,UK,v2,False,False
35.07,25,CAN,v2,True,False
24.56,526,USA,v1,False,False
37.92,931,AUS,v3,False,False
34.2,409,RUS,v4,False,False
31.83,217,UK,v3,False,False
28.09,640,USA,v1,False,False
37.35,247,RUS,v4,False,False
38.68,49,AUS,v3,False,False
41.47,525,UK,v2,False,False
39.52,181,UK,v2,False,False
41.57,161,CAN,v2,False,False
43.66,671,AUS,v3,False,False
37.88,187,AUS,v3,False,False
32.74,764,UK,v3,False,False
35.76,763,CAN,v1,False,False
35.54,416,AUS,v4,False,False
39.08,961,USA,v1,False,False
32.35,391,CAN,v2,False,False
35.89,544,UK,v3,False,False
10.2,54,CAN,v3,False,False
41.31,736,AUS,v3,False,False
39.42,354,USA,v1,False,False
34.43,837,UK,v2,True,False
39.24,278,AUS,v3,False,False
33.98,572,UK,v2,False,False
25.9,722,CAN,v2,False,False
39.46,732,USA,v1,False,False
19.75,548,USA,v1,False,False
40.48,875,RUS,v4,False,False
33.0,324,AUS,v3,False,False
37.35,237,AUS,v4,False,False
38.04,118,RUS,v4,False,False
31.81,566,CAN,v2,False,False
31.15,148,USA,v1,False,False
40.54,26,UK,v3,False,False
28.85,611,USA,v1,False,False
41.1,939,UK,v3,False,False
33.14,881,USA,v1,False,False
34.61,319,RUS,v4,True,False
31.57,250,UK,v2,False,False
43.54,706,AUS,v3,False,False
30.34,905,USA,v1,False,False
32.98,543,AUS,v4,False,False
17.25,953,CAN,v2,False,False
30.21,675,USA,v1,False,False
37.42,902,CAN,v2,False,False
37.96,146,CAN,v2,False,False
35.28,830,UK,v3,True,False
30.9,290,CAN,v2,False,False
31.95,401,UK,v2,False,False
35.29,353,UK,v3,True,False
27.52,710,USA,v1,False,False
32.7,497,USA,v1,False,False
36.02,844,RUS,v4,False,False
38.03,212,RUS,v4,False,False
38.03,894,RUS,v4,False,False
42.23,491,RUS,v4,False,False
31.27,879,AUS,v3,False,False
35.07,664,USA,v1,True,False
35.76,717,CAN,v2,False,False
34.98,92,AUS,v4,True,False
45.36,635,RUS,v4,False,False
22.78,558,USA,v1,False,False
34.17,321,USA,v1,False,False
35.29,393,USA,v1,True,False
34.93,154,CAN,v2,True,False
44.51,312,CAN,v1,False,False
35.22,585,UK,v2,True,False
32.87,782,USA,v1,False,False
37.0,921,CAN,v2,False,False
36.43,608,RUS,v4,False,False
41.3,982,RUS,v4,False,False
26.95,831,UK,v3,False,False
34.99,541,RUS,v4,True,False
42.74,104,AUS,v3,False,False
36.67,423,UK,v2,False,False
45.34,202,AUS,v3,False,False
38.66,971,RUS,v4,False,False
36.33,533,USA,v1,False,False
23.46,420,UK,v3,False,False
37.89,487,CAN,v1,False,False
30.01,168,UK,v2,False,False
42.59,919,USA,v1,False,False
28.59,561,RUS,v4,False,False
32.86,546,UK,v2,False,False
36.74,702,RUS,v4,False,False
32.93,952,USA,v1,False,False
43.78,43,UK,v2,False,False
40.4,395,CAN,v2,False,False
33.19,168,CAN,v2,False,False
27.82,730,RUS,v4,False,False
39.03,571,RUS,v4,False,False
27.37,804,AUS,v3,False,False
28.49,884,USA,v1,False,False
35.17,46,USA,v1,True,False
27.91,41,CAN,v2,False,False
34.55,668,USA,v1,True,False
32.36,655,RUS,v4,False,False
39.18,472,AUS,v3,False,False
45.89,606,RUS,v4,False,False
23.15,864,USA,v1,False,False
35.64,791,USA,v1,False,False
34.55,764,UK,v2,True,False
37.49,13,AUS,v3,False,False
38.64,436,AUS,v4,False,False
32.74,91,UK,v3,False,False
42.18,654,RUS,v4,False,False
40.79,240,USA,v1,False,False
31.09,252,UK,v3,False,False
38.45,893,USA,v1,False,False
32.36,27,USA,v1,False,False
36.58,732,USA,v1,False,False
36.89,685,UK,v3,False,False
33.71,988,CAN,v2,False,False
32.06,522,CAN,v2,False,False
27.7,390,RUS,v4,False,False
40.53,909,UK,v3,False,False
34.67,450,USA,v1,True,False
15.5,470,CAN,v3,False,False
45.03,525,RUS,v4,False,False
35.94,408,USA,v1,False,False
37.55,917,USA,v1,False,False
29.84,610,RUS,v4,False,False
44.28,648,CAN,v1,False,False
36.67,849,CAN,v2,False,False
29.57,247,CAN,v1,False,False
33.46,577,USA,v1,False,False
28.97,553,AUS,v4,False,False
42.51,179,USA,v1,False,False
34.57,375,USA,v1,True,False
30.68,211,CAN,v2,False,False
18.75,778,UK,v3,False,False
39.23,274,AUS,v3,False,False
28.63,958,USA,v1,False,False
37.6,813,USA,v1,False,False
31.53,774,AUS,v3,False,False
17.24,488,USA,v1,False,False
39.28,968,USA,v1,False,False
41.58,420,UK,v3,False,False
33.5,995,AUS,v4,False,False
37.57,517,AUS,v3,False,False
45.18,221,UK,v2,False,False
42.1,690,UK,v2,False,False
31.25,999,UK,v3,False,False
39.55,619,RUS,v4,False,False
34.44,543,USA,v1,True,False
40.19,890,RUS,v4,False,False
35.42,815,RUS,v4,True,False
36.9,170,CAN,v2,False,False
33.2,888,RUS,v4,False,False
32.09,563,USA,v1,False,False
33.49,981,UK,v2,False,False
40.52,484,CAN,v2,False,False
43.23,8,USA,v1,False,False
23.58,336,AUS,v4,False,False
34.89,237,UK,v2,True,False
40.79,150,RUS,v4,False,False
28.13,468,RUS,v4,False,False
36.05,141,UK,v2,False,False
38.55,848,UK,v2,False,False
34.58,769,RUS,v4,True,False
37.96,440,AUS,v3,False,False
37.89,315,RUS,v4,False,False
36.05,653,CAN,v2,False,False
47.86,680,RUS,v4,False,False
37.98,689,AUS,v3,False,False
37.42,314,CAN,v1,False,False
35.33,38,CAN,v1,True,False
28.86,408,AUS,v3,False,False
33.86,3,AUS,v3,False,False
38.43,533,UK,v2,False,False
35.87,96,UK,v2,False,False
37.46,785,UK,v3,False,False
10.44,453,CAN,v3,False,False
36.26,681,AUS,v3,False,False
34.35,149,UK,v3,True,False
42.33,755,USA,v1,False,False
41.37,201,RUS,v4,False,False
41.48,539,AUS,v3,False,False
36.5,304,AUS,v3,False,False
39.1,259,CAN,v1,False,False
-0.335,729,CAN,v3,False,True
49.22,464,RUS,v4,False,False
50.04,735,RUS,v4,False,False
26.31,582,CAN,v1,False,False
32.73,561,UK,v2,False,False
39.01,567,AUS,v3,False,False
34.1,855,CAN,v2,False,False
26.11,856,UK,v3,False,False
39.03,380,CAN,v2,False,False
32.7,850,USA,v1,False,False
30.34,879,USA,v1,False,False
32.41,74,USA,v1,False,False
35.75,583,UK,v2,False,False
29.23,663,USA,v1,False,False
35.28,866,UK,v2,True,False
42.02,514,UK,v2,False,False
33.84,147,UK,v2,False,False
34.27,549,AUS,v3,False,False
38.32,168,UK,v3,False,False
40.92,838,RUS,v4,False,False
18.85,427,CAN,v3,False,False
38.83,623,RUS,v4,False,False
35.66,903,AUS,v3,False,False
27.11,713,CAN,v2,False,False
29.53,664,USA,v1,False,False
35.63,751,UK,v2,False,False
36.0,571,UK,v3,False,False
33.85,27,RUS,v4,False,False
33.08,3,AUS,v3,False,False
42.53,462,UK,v3,False,False
27.03,870,UK,v3,False,False
44.08,737,UK,v2,False,False
35.12,320,AUS,v3,True,False
37.19,668,USA,v1,False,False
44.71,610,AUS,v3,False,False
26.76,345,RUS,v4,False,False
30.96,725,CAN,v2,False,False
44.81,943,UK,v3,False,False
35.33,850,USA,v1,True,False
31.13,438,RUS,v4,False,False
34.3,525,USA,v1,True,False
29.8,594,CAN,v2,False,False
30.67,95,AUS,v4,False,False
33.04,39,AUS,v4,False,False
25.02,234,UK,v2,False,False
32.96,794,UK,v3,False,False
40.8,455,RUS,v4,False,False
38.66,73,AUS,v3,False,False
36.7,376,USA,v1,False,False
39.98,27,RUS,v4,False,False
18.54,604,CAN,v3,False,False
36.47,542,CAN,v1,False,False
39.54,856,AUS,v3,False,False
40.54,685,UK,v3,False,False
35.21,481,AUS,v3,True,False
37.35,877,AUS,v3,False,False
36.75,308,UK,v3,False,False
37.09,639,AUS,v4,False,False
37.34,691,RUS,v4,False,False
32.87,232,UK,v2,False,False
33.45,188,CAN,v2,False,False
38.84,302,UK,v3,False,False
36.76,307,USA,v1,False,False
36.97,865,UK,v2,False,False
32.5,894,USA,v1,False,False
37.33,340,RUS,v4,False,False
28.98,454,UK,v2,False,False
44.99,915,USA,v1,False,False
28.18,588,RUS,v4,False,False
39.26,817,AUS,v3,False,False
37.95,589,RUS,v4,False,False
38.45,389,CAN,v2,False,False
37.84,371,CAN,v2,False,False
33.66,745,AUS,v4,False,False
33.02,875,AUS,v3,False,False
39.6,189,USA,v1,False,False
41.51,3,USA,v1,False,False
34.32,345,CAN,v2,True,False
36.48,706,USA,v1,False,False
32.21,528,CAN,v1,False,False
29.76,68,AUS,v3,False,False
32.3,270,AUS,v3,False,False
22.74,102,AUS,v4,False,False
38.9,294,UK,v2,False,False
3.7030000000000003,392,CAN,v3,False,True
29.29,367,USA,v1,False,False
40.23,539,UK,v2,False,False
35.64,905,CAN,v1,False,False
30.23,846,UK,v2,False,False
37.3,332,UK,v3,False,False
33.36,657,AUS,v3,False,False
36.61,636,USA,v1,False,False
35.36,891,AUS,v3,True,False
38.96,702,USA,v1,False,False
39.14,723,USA,v1,False,False
28.83,159,RUS,v4,False,False
30.67,419,AUS,v3,False,False
44.18,283,RUS,v4,False,False
43.59,900,CAN,v2,False,False
31.63,920,RUS,v4,False,False
31.98,81,RUS,v4,False,False
31.62,632,UK,v2,False,False
36.87,271,CAN,v2,False,False
43.18,482,USA,v1,False,False
41.3,82,RUS,v4,False,False
45.08,747,UK,v3,False,False
37.89,553,USA,v1,False,False
28.11,655,UK,v3,False,False
33.77,348,UK,v2,False,False
40.6,574,USA,v1,False,False
37.09,173,RUS,v4,False,False
29.13,239,RUS,v4,False,False
35.07,224,AUS,v3,True,False
41.33,622,UK,v2,False,False
35.17,867,USA,v1,True,False
35.61,175,CAN,v1,False,False
35.44,968,UK,v3,True,False
33.83,898,CAN,v1,False,False
32.36,119,CAN,v1,False,False
29.69,608,UK,v3,False,False
22.81,136,USA,v1,False,False
39.85,162,UK,v2,False,False
33.12,113,USA,v1,False,False
41.27,167,UK,v2,False,False
31.76,397,USA,v1,False,False
30.25,723,AUS,v3,False,False
26.59,656,CAN,v2,False,False
36.88,656,CAN,v2,False,False
32.72,799,USA,v1,False,False
20.34,24,CAN,v2,False,False
35.62,334,CAN,v2,False,False
37.34,56,AUS,v3,False,False
36.61,364,CAN,v2,False,False
32.11,507,CAN,v1,False,False
46.61,684,AUS,v4,False,False
33.5,700,AUS,v3,False,False
31.18,395,UK,v3,False,False
40.9,943,AUS,v3,False,False
29.65,998,UK,v3,False,False
29.23,714,CAN,v2,False,False
18.72,963,CAN,v1,False,False
32.83,933,UK,v2,False,False
32.93,239,CAN,v2,False,False
38.29,563,CAN,v2,False,False
37.13,262,AUS,v3,False,False
26.56,557,USA,v1,False,False
30.63,660,UK,v3,False,False
34.8,635,UK,v2,True,False
38.14,875,CAN,v2,False,False
36.36,836,UK,v2,False,False
36.97,346,USA,v1,False,False
32.94,883,RUS,v4,False,False
26.78,478,USA,v1,False,False
26.28,168,AUS,v3,False,False
44.68,125,CAN,v2,False,False
32.89,344,AUS,v4,False,False
40.26,654,CAN,v2,False,False
36.25,656,AUS,v3,False,False
37.08,983,CAN,v2,False,False
29.42,785,RUS,v4,False,False
27.72,507,USA,v1,False,False
32.53,680,USA,v1,False,False
28.51,756,RUS,v4,False,False
39.49,979,USA,v1,False,False
42.28,107,CAN,v2,False,False
38.78,392,USA,v1,False,False
39.64,480,CAN,v2,False,False
37.62,544,AUS,v3,False,False
41.93,19,UK,v3,False,False
41.29,46,AUS,v3,False,False
41.83,163,CAN,v2,False,False
34.65,861,UK,v2,True,False
41.7,515,RUS,v4,False,False
29.96,282,RUS,v4,False,False
32.93,614,USA,v1,False,False
37.53,928,USA,v1,False,False
24.69,234,AUS,v4,False,False
36.05,580,USA,v1,False,False
39.25,161,CAN,v1,False,False
34.11,789,AUS,v3,False,False
36.36,886,CAN,v2,False,False
38.06,695,AUS,v4,False,False
36.64,626,AUS,v3,False,False
27.98,534,USA,v1,False,False
34.96,755,CAN,v2,True,False
35.72,744,RUS,v4,False,False
29.9,440,CAN,v2,False,False
29.99,647,RUS,v4,False,False
39.3,594,CAN,v1,False,False
38.34,575,AUS,v3,False,False
34.8,946,CAN,v2,True,False
28.81,113,USA,v1,False,False
32.16,81,USA,v1,False,False
34.89,910,USA,v1,True,False
32.99,998,RUS,v4,False,False
28.98,161,RUS,v4,False,False
33.69,803,CAN,v2,False,False
37.38,481,CAN,v2,False,False
38.07,773,AUS,v3,False,False
36.37,726,RUS,v4,False,False
37.94,806,CAN,v2,False,False
33.05,808,RUS,v4,False,False
32.51,515,RUS,v4,False,False
28.72,798,UK,v3,False,False
35.52,491,UK,v2,False,False
38.38,215,RUS,v4,False,False
33.93,855,CAN,v2,False,False
30.28,793,AUS,v3,False,False
28.71,534,AUS,v3,False,False
38.35,540,CAN,v2,False,False
46.33,838,RUS,v4,False,False
39.41,96,UK,v3,False,False
32.11,280,UK,v3,False,False
35.37,192,CAN,v2,True,False
32.6,572,UK,v2,False,False
34.14,103,AUS,v3,False,False
33.47,549,CAN,v2,False,False
30.83,346,AUS,v4,False,False
29.72,494,USA,v1,False,False
30.43,719,CAN,v1,False,False
35.21,462,RUS,v4,True,False
37.79,585,UK,v2,False,False
35.26,937,CAN,v2,True,False
34.75,699,USA,v1,True,False
35.67,592,CAN,v2,False,False
31.03,221,USA,v1,False,False
42.85,346,UK,v3,False,False
7.104,80,CAN,v3,False,True
25.59,788,CAN,v1,False,False
35.45,147,AUS,v4,True,False
37.3,737,AUS,v3,False,False
41.19,740,USA,v1,False,False
38.26,433,UK,v3,False,False
29.97,627,AUS,v4,False,False
46.54,429,AUS,v4,False,False
30.85,589,UK,v3,False,False
33.44,361,USA,v1,False,False
41.29,110,USA,v1,False,False
35.93,471,CAN,v1,False,False
31.17,962,CAN,v2,False,False
40.01,877,UK,v2,False,False
25.55,597,USA,v1,False,False
29.75,28,UK,v3,False,False
40.3,625,AUS,v4,False,False
43.52,531,USA,v1,False,False
32.01,124,USA,v1,False,False
35.33,67,CAN,v2,True,False
31.9,71,UK,v2,False,False
28.64,436,USA,v1,False,False
31.8,259,RUS,v4,False,False
34.58,537,AUS,v4,True,False
31.33,506,AUS,v3,False,False
41.15,946,USA,v1,False,False
36.54,737,CAN,v2,False,False
35.14,270,UK,v2,True,False
39.35,218,RUS,v4,False,False
35.08,245,AUS,v3,True,False
30.57,789,USA,v1,False,False
31.25,150,USA,v1,False,False
36.08,257,CAN,v2,False,False
36.08,774,UK,v3,False,False
36.75,179,UK,v3,False,False
30.62,657,UK,v3,False,False
40.81,852,USA,v1,False,False
31.02,430,RUS,v4,False,False
35.22,645,AUS,v3,True,False
35.09,295,UK,v2,True,False
36.93,643,UK,v2,False,False
37.7,244,CAN,v2,False,False
30.01,713,RUS,v4,False,False
33.03,921,USA,v1,False,False
45.22,720,USA,v1,False,False
30.33,546,UK,v3,False,False
32.6,640,USA,v1,False,False
36.85,639,UK,v2,False,False
34.73,643,CAN,v2,True,False
35.17,513,RUS,v4,True,False
35.36,313,UK,v3,True,False
24.03,567,USA,v1,False,False
33.71,463,UK,v3,False,False
37.08,136,USA,v1,False,False
29.56,756,RUS,v4,False,False
31.19,280,AUS,v3,False,False
38.53,65,CAN,v1,False,False
27.91,220,RUS,v4,False,False
34.06,807,USA,v1,False,False
26.32,121,CAN,v1,False,False
31.34,910,UK,v3,False,False
12.6,524,CAN,v3,False,False
34.43,594,AUS,v3,True,False
33.24,277,AUS,v3,False,False
38.99,485,USA,v1,False,False
37.51,223,RUS,v4,False,False
39.73,7,AUS,v3,False,False
31.61,102,CAN,v2,False,False
31.12,446,RUS,v4,False,False
28.29,829,CAN,v2,False,False
27.41,777,USA,v1,False,False
32.02,14,USA,v1,False,False
23.9,982,USA,v1,False,False
37.57,239,RUS,v4,False,False
40.54,300,RUS,v4,False,False
30.39,549,CAN,v1,False,False
35.34,312,AUS,v3,True,False
31.18,982,AUS,v3,False,False
37.07,764,AUS,v4,False,False
33.75,375,AUS,v3,False,False
31.69,517,AUS,v3,False,False
43.2,122,RUS,v4,False,False
39.18,313,RUS,v4,False,False
40.27,971,CAN,v1,False,False
44.25,871,RUS,v4,False,False
30.33,377,RUS,v4,False,False
44.73,997,RUS,v4,False,False
37.74,848,USA,v1,False,False
33.18,881,RUS,v4,False,False
36.29,768,USA,v1,False,False
30.04,86,CAN,v1,False,False
29.44,124,UK,v3,False,False
38.15,430,RUS,v4,False,False
37.05,960,UK,v3,False,False
29.52,196,AUS,v3,False,False
32.36,141,RUS,v4,False,False
35.63,189,CAN,v2,False,False
43.15,848,RUS,v4,False,False
47.17,317,CAN,v2,False,False
42.37,813,RUS,v4,False,False
0.9782,809,CAN,v3,False,True
31.24,510,AUS,v3,False,False
35.72,178,CAN,v2,False,False
30.72,151,AUS,v3,False,False
39.9,208,UK,v3,False,False
39.81,188,RUS,v4,False,False
32.46,537,CAN,v2,False,False
36.04,320,UK,v2,False,False
34.71,742,USA,v1,True,False
32.92,998,UK,v2,False,False
33.48,652,USA,v1,False,False
34.26,106,UK,v2,False,False
31.53,761,USA,v1,False,False
26.81,377,USA,v1,False,False
42.38,630,CAN,v1,False,False
35.96,108,UK,v3,False,False
26.69,699,CAN,v1,False,False
41.35,67,UK,v2,False,False
33.21,796,AUS,v4,False,False
41.3,523,USA,v1,False,False
35.31,406,UK,v2,True,False
33.04,401,AUS,v3,False,False
28.73,61,AUS,v3,False,False
38.88,200,RUS,v4,False,False
35.26,195,CAN,v2,True,False
33.46,135,AUS,v3,False,False
40.29,476,USA,v1,False,False
31.84,178,RUS,v4,False,False
38.45,320,RUS,v4,False,False
40.96,115,RUS,v4,False,False
46.4,787,AUS,v3,False,False
43.37,125,CAN,v2,False,False
30.92,751,AUS,v4,False,False
47.89,642,AUS,v3,False,False
34.34,386,AUS,v3,True,False
44.67,539,RUS,v4,False,False
34.05,752,AUS,v3,False,False
40.36,549,RUS,v4,False,False
36.6,638,AUS,v4,False,False
33.23,393,AUS,v3,False,False
27.97,581,UK,v2,False,False
32.92,478,USA,v1,False,False
36.9,742,RUS,v4,False,False
33.61,422,AUS,v3,False,False
25.34,228,UK,v3,False,False
29.86,658,RUS,v4,False,False
40.78,770,CAN,v2,False,False
39.52,512,RUS,v4,False,False
33.67,292,USA,v1,False,False
23.99,468,UK,v3,False,False
45.69,505,UK,v2,False,False
30.27,508,RUS,v4,False,False
32.21,373,USA,v1,False,False
40.09,360,CAN,v2,False,False
46.49,976,UK,v2,False,False
32.69,86,RUS,v4,False,False
29.12,69,UK,v3,False,False
39.87,946,UK,v3,False,False
36.95,465,UK,v2,False,False
32.18,304,RUS,v4,False,False
35.74,936,CAN,v2,False,False
38.01,227,USA,v1,False,False
34.21,86,RUS,v4,False,False
32.62,981,UK,v2,False,False
30.92,385,AUS,v4,False,False
36.39,873,RUS,v4,False,False
39.71,84,CAN,v2,False,False
31.89,904,AUS,v3,False,False
36.05,748,AUS,v3,False,False
30.98,630,AUS,v3,False,False
41.47,745,UK,v2,False,False
31.29,673,UK,v2,False,False
29.02,110,USA,v1,False,False
31.59,650,CAN,v2,False,False
28.13,607,RUS,v4,False,False
42.24,435,USA,v1,False,False
36.43,282,CAN,v2,False,False
33.62,171,CAN,v2,False,False
33.58,268,RUS,v4,False,False
27.26,91,AUS,v3,False,False
30.99,622,CAN,v2,False,False
38.2,645,RUS,v4,False,False
31.56,647,RUS,v4,False,False
32.93,246,RUS,v4,False,False
40.68,863,USA,v1,False,False
44.27,197,USA,v1,False,False
32.94,832,USA,v1,False,False
37.29,507,RUS,v4,False,False
31.17,570,CAN,v2,False,False
28.53,497,RUS,v4,False,False
33.75,194,CAN,v2,False,False
8.413,489,CAN,v3,False,False
45.43,63,USA,v1,False,False
35.49,314,UK,v3,False,False
32.0,216,RUS,v4,False,False
31.13,712,UK,v2,False,False
35.14,414,UK,v3,True,False
36.25,506,RUS,v4,False,False
36.31,53,RUS,v4,False,False
34.86,337,AUS,v3,True,False
35.41,899,AUS,v4,True,False
33.82,325,UK,v2,False,False
41.47,60,RUS,v4,False,False
36.78,851,USA,v1,False,False
25.05,817,CAN,v2,False,False
32.92,541,AUS,v4,False,False
35.4,380,AUS,v3,True,False
28.58,150,AUS,v4,False,False
30.45,266,CAN,v2,False,False
31.31,545,AUS,v3,False,False
42.11,234,USA,v1,False,False
32.62,971,CAN,v2,False,False
33.73,501,USA,v1,False,False
34.71,678,AUS,v3,True,False
38.7,102,AUS,v3,False,False
32.84,155,UK,v2,False,False
32.24,909,UK,v2,False,False
32.48,357,CAN,v2,False,False
36.83,567,CAN,v2,False,False
26.29,142,CAN,v1,False,False
29.71,112,AUS,v3,False,False
34.55,111,RUS,v4,True,False
33.66,672,CAN,v2,False,False
38.11,110,UK,v2,False,False
43.57,902,USA,v1,False,False
34.35,670,CAN,v2,True,False
46.82,514,RUS,v4,False,False
37.52,625,RUS,v4,False,False
32.22,602,RUS,v4,False,False
37.24,566,CAN,v2,False,False
34.54,439,RUS,v4,True,False
35.07,406,AUS,v3,True,False
35.29,672,AUS,v4,True,False
28.71,55,UK,v3,False,False
36.34,659,USA,v1,False,False
34.52,756,USA,v1,True,False
39.01,164,RUS,v4,False,False
38.44,704,USA,v1,False,False
30.89,28,RUS,v4,False,False
40.47,405,AUS,v3,False,False
25.95,787,USA,v1,False,False
30.93,444,CAN,v2,False,False
37.11,754,AUS,v3,False,False
40.18,216,USA,v1,False,False
39.43,444,RUS,v4,False,False
32.82,765,UK,v2,False,False
35.12,871,UK,v3,True,False
33.94,366,USA,v1,False,False
30.6,332,UK,v2,False,False
27.51,615,AUS,v3,False,False
32.29,125,UK,v2,False,False
36.71,74,RUS,v4,False,False
36.52,984,CAN,v2,False,False
28.13,464,USA,v1,False,False
32.24,430,CAN,v2,False,False
30.95,9,UK,v3,False,False
33.8,996,USA,v1,False,False
33.73,190,USA,v1,False,False
26.14,861,UK,v3,False,False
36.9,619,UK,v3,False,False
38.3,245,CAN,v2,False,False
37.21,890,CAN,v2,False,False
37.5,549,USA,v1,False,False
32.21,229,RUS,v4,False,False
34.68,415,RUS,v4,True,False
36.59,373,USA,v1,False,False
34.97,110,RUS,v4,True,False
42.41,603,UK,v3,False,False
44.69,557,RUS,v4,False,False
31.37,434,AUS,v4,False,False
40.06,116,CAN,v2,False,False
38.82,400,USA,v1,False,False
34.73,666,CAN,v1,True,False
35.77,546,CAN,v1,False,False
34.76,723,RUS,v4,True,False
40.81,884,USA,v1,False,False
42.37,670,AUS,v3,False,False
31.97,342,USA,v1,False,False
40.76,525,AUS,v4,False,False
34.17,797,AUS,v3,False,False
37.21,282,UK,v2,False,False
30.62,929,AUS,v3,False,False
33.97,976,USA,v1,False,False
41.39,297,UK,v3,False,False
